reference id,Pubchem_id,iupac_name,molecular_formula,molecular_weight,kegg_id,,,,
15559735,15559735,"3,5,7,8-tetrahydroxy-2-(3,4,5-trihydroxyphenyl)chromen-4-one ",C15H10O9,334.23,Not available,,,,
159650,159650,"4,6-dimethoxyfuro[2,3-b]quinoline ",C13H11NO3,229.23,Not available,,,,
159287,159287,"2-(4-hydroxy-3,5-dimethoxyphenyl)chromenylium-3,5,7-triol ",C17H15O7+,331.3,C08716 ,,,,
159516,159516,"methyl (2R,4aS,6aR,6aS,14aS,14bR)-10-hydroxy-2,4a,6a,6a,9,14a-hexamethyl-11-oxo-1,3,4,5,6,13,14,14b-octahydropicene-2-carboxylate",C30H40O4,464.6,C08633 ,,,,
159795,159795,"(3S,22S)-10,11,15,16,27-pentamethoxy-4,21-dimethyl-13,29-dioxa-4,21-diazaheptacyclo[28.2.2.114,18.124,28.03,8.07,12.022,36]hexatriaconta-1(33),7(12),8,10,14(36),15,17,24(35),25,27,30(34),31-dodecaene",C39H44N2O7,652.8,C09656 ,,,,
14079439,14079439,(3E)-7-hydroxy-3-[(4-methoxyphenyl)methylidene]chromen-4-one,C17H14O4,282.29,Not available,,,,
157301,157301,"7-methyl-8-(4-methylpent-4-enyl)-3-propan-2-ylnaphthalene-1,2-dione ",C20H24O2,296.4,Not available,,,,
160921,160921,"5,7-dihydroxy-6,8-dimethoxy-2-(4-methoxyphenyl)chromen-4-one ",C18H16O7,344.3,C10111 ,,,,
114776,114776,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-6-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one",C21H20O11,448.4,C01821 ,,,,
11596309,11596309,"(2S)-7-hydroxy-2-[4-hydroxy-3-(3-methylbut-2-enyl)phenyl]-8-(3-methylbut-2-enyl)-2,3-dihydrochromen-4-one",C25H28O4,392.5,Not available,,,,
12232,,,,,,,,,
11666871,11666871,"4-[2-[(1R,4aS,5R,8aS)-5-(hydroxymethyl)-5,8a-dimethyl-2-methylidene-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]ethyl]-2H-furan-5-one",C20H30O3,318.4,Not available,,,,
11617,11617,3-prop-2-enylsulfanylprop-1-ene ,C6H10S,114.21,C08370 ,,,,
